ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
321707833,cian.ru,Тверской,158.0,44.0,1304.0,46.0,197.09375,2164,30271,466,7863,609300.0,521.0,204.0,5979.0,46.0,387.53333333333336,2164,30271,466,7863,13.0,5.0,13.0,44.0,0.0,4.0,6.0,0.0,11.0,5.0,4.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,4.0,2.0,0.0,1.0,6.0,23.0,45.0,2.0,0.0,54.0,30.0,32.0,134.0,0.0,14.0,17.0,0.0,31.0,12.0,10.0,4.0,6.0,0.0,0.0,17.0,12.0,6.0,20.0,13.0,0.0,5.0,23.0,61.0,202.0,8.0,3.0
7567207134,avito.ru,Тверской,153.0,50.0,1682.0,0.0,211.32432432432432,718,3468,778,2985,609300.0,460.0,143.0,5404.0,0.0,377.8,718,3468,778,2985,10.0,10.0,8.0,38.0,0.0,4.0,4.0,0.0,8.0,6.0,5.0,2.0,1.0,0.0,0.0,8.0,3.0,2.0,3.0,4.0,0.0,0.0,7.0,13.0,20.0,2.0,1.0,42.0,24.0,29.0,142.0,0.0,15.0,17.0,0.0,31.0,17.0,9.0,7.0,5.0,0.0,0.0,17.0,16.0,4.0,16.0,14.0,0.0,5.0,23.0,69.0,145.0,4.0,5.0
321260759,cian.ru,Тверской,158.0,44.0,1304.0,46.0,197.09375,2164,30271,466,7863,609300.0,521.0,204.0,5979.0,46.0,387.53333333333336,2164,30271,466,7863,13.0,5.0,13.0,44.0,0.0,4.0,6.0,0.0,11.0,5.0,4.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,4.0,2.0,0.0,1.0,6.0,23.0,45.0,2.0,0.0,54.0,30.0,32.0,134.0,0.0,14.0,17.0,0.0,31.0,12.0,10.0,4.0,6.0,0.0,0.0,17.0,12.0,6.0,20.0,13.0,0.0,5.0,23.0,61.0,202.0,8.0,3.0
325032608,cian.ru,Замоскворечье,156.0,30.0,1466.0,0.0,173.53846153846155,1078,17808,901,11261,543700.0,555.0,110.0,4959.0,0.0,381.86764705882354,1078,17808,901,11261,16.0,6.0,6.0,29.0,0.0,4.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,7.0,0.0,1.0,1.0,0.0,1.0,7.0,15.0,35.0,1.0,0.0,40.0,17.0,25.0,109.0,0.0,15.0,15.0,0.0,32.0,11.0,7.0,8.0,24.0,1.0,1.0,16.0,21.0,2.0,16.0,5.0,0.0,8.0,28.0,54.0,114.0,5.0,4.0
323823078,cian.ru,Басманный,126.0,36.0,2098.0,0.0,140.66666666666666,1652,26377,832,7852,461200.0,453.0,128.0,5204.0,0.0,310.6617647058824,1652,26377,832,7852,20.0,1.0,5.0,42.0,1.0,3.0,3.0,0.0,6.0,3.0,2.0,4.0,5.0,0.0,0.0,3.0,9.0,0.0,3.0,0.0,0.0,2.0,11.0,8.0,4.0,0.0,0.0,52.0,10.0,17.0,102.0,1.0,7.0,9.0,0.0,17.0,9.0,6.0,5.0,16.0,0.0,2.0,13.0,17.0,4.0,8.0,17.0,0.0,7.0,26.0,38.0,86.0,4.0,5.0
2459397135194134016,realty.yandex.ru,Раменки,23.0,10.0,1173.0,,,1936,1663,2305,4613,483300.0,123.0,41.0,4992.0,350.0,463.5,1936,1663,2305,4613,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,11.0,7.0,11.0,15.0,0.0,3.0,6.0,0.0,12.0,5.0,2.0,4.0,8.0,7.0,0.0,0.0,11.0,3.0,6.0,4.0,0.0,1.0,8.0,12.0,21.0,1.0,0.0
3966105355550864896,realty.yandex.ru,Арбат,136.0,60.0,1387.0,16.0,184.875,1952,8637,1277,5968,820400.0,547.0,200.0,5633.0,16.0,424.4938271604938,1952,8637,1277,5968,6.0,2.0,5.0,33.0,0.0,6.0,2.0,0.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,2.0,6.0,1.0,7.0,3.0,1.0,3.0,6.0,21.0,36.0,1.0,1.0,34.0,16.0,17.0,112.0,2.0,8.0,12.0,0.0,17.0,13.0,10.0,3.0,7.0,0.0,1.0,7.0,21.0,4.0,17.0,12.0,3.0,7.0,14.0,51.0,108.0,8.0,2.0
325266790,cian.ru,Мещанский,184.0,85.0,1312.0,24.0,207.71875,878,20814,776,9614,530600.0,624.0,237.0,4571.0,24.0,397.3333333333333,878,20814,776,9614,19.0,5.0,7.0,51.0,0.0,4.0,1.0,0.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,5.0,3.0,0.0,6.0,10.0,11.0,46.0,4.0,1.0,62.0,25.0,28.0,164.0,1.0,14.0,9.0,0.0,31.0,15.0,5.0,3.0,23.0,0.0,1.0,19.0,14.0,1.0,19.0,14.0,0.0,17.0,24.0,64.0,176.0,10.0,5.0
5203054433261711360,realty.yandex.ru,Красносельский,85.0,23.0,1911.0,63.0,232.75,972,10644,1343,4159,454800.0,399.0,122.0,6640.0,63.0,383.40277777777777,972,10644,1343,4159,15.0,1.0,0.0,21.0,0.0,3.0,1.0,0.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,4.0,2.0,0.0,0.0,15.0,5.0,17.0,1.0,3.0,61.0,12.0,10.0,78.0,0.0,9.0,9.0,0.0,20.0,9.0,7.0,4.0,7.0,0.0,0.0,10.0,12.0,4.0,22.0,8.0,0.0,2.0,33.0,37.0,68.0,11.0,5.0
324745824,cian.ru,Замоскворечье,132.0,36.0,2225.0,59.0,212.17142857142855,1050,8983,2208,14686,543700.0,521.0,115.0,6471.0,59.0,382.5982905982906,1050,8983,2208,14686,15.0,6.0,6.0,42.0,0.0,8.0,6.0,0.0,4.0,3.0,4.0,3.0,5.0,1.0,0.0,6.0,8.0,1.0,3.0,1.0,0.0,2.0,9.0,16.0,27.0,1.0,0.0,34.0,19.0,28.0,87.0,0.0,13.0,14.0,0.0,34.0,8.0,7.0,8.0,28.0,1.0,1.0,12.0,18.0,2.0,15.0,4.0,0.0,9.0,27.0,58.0,126.0,5.0,3.0
