ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
323230181,cian.ru,Алексеевский,65.0,6.0,101.0,116.0,186.6,6.0,7592.0,199.0,4444.0,9.0,8.0,3.0,21.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,5.0,1.0,0.0,2.0,10.0,5.0,5.0,2.0,0.0,397600.0,219.0,27.0,2708.0,116.0,383.5,6,7592,199,4444,15.0,10.0,5.0,30.0,1.0,5.0,4.0,0.0,11.0,3.0,6.0,5.0,3.0,0.0,0.0,5.0,10.0,2.0,25.0,2.0,0.0,2.0,14.0,9.0,10.0,5.0,0.0
320541150,cian.ru,Даниловский,65.0,5.0,70.0,48.0,193.6315789473684,130.0,2754.0,790.0,3525.0,7.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,7.0,5.0,8.0,0.0,0.0,399100.0,247.0,55.0,3171.0,48.0,364.6,130,2754,790,3525,14.0,3.0,9.0,21.0,2.0,6.0,6.0,0.0,21.0,5.0,2.0,3.0,3.0,0.0,1.0,12.0,11.0,3.0,8.0,8.0,0.0,0.0,18.0,16.0,17.0,2.0,0.0
325146979,cian.ru,Арбат,126.0,37.0,1698.0,39.0,172.84615384615384,814.0,4807.0,581.0,2167.0,5.0,3.0,3.0,21.0,1.0,2.0,2.0,0.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,10.0,2.0,1.0,820400.0,425.0,134.0,4933.0,39.0,392.9814814814815,814,4807,581,2167,31.0,14.0,12.0,91.0,1.0,12.0,11.0,0.0,18.0,13.0,7.0,7.0,16.0,0.0,2.0,8.0,10.0,1.0,16.0,10.0,2.0,3.0,15.0,35.0,54.0,7.0,5.0
324186789,cian.ru,Арбат,130.0,36.0,1475.0,0.0,159.45454545454547,814.0,4807.0,581.0,2167.0,4.0,2.0,3.0,10.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,10.0,2.0,1.0,820400.0,433.0,128.0,4810.0,0.0,388.537037037037,814,4807,581,2167,32.0,14.0,12.0,89.0,1.0,13.0,11.0,0.0,12.0,13.0,7.0,7.0,14.0,0.0,2.0,9.0,10.0,1.0,15.0,9.0,0.0,3.0,16.0,35.0,55.0,7.0,5.0
7517866235141815296,realty.yandex.ru,Даниловский,40.0,4.0,726.0,0.0,174.05882352941177,230.0,58551.0,733.0,23826.0,12.0,1.0,14.0,24.0,0.0,2.0,5.0,0.0,19.0,7.0,0.0,0.0,1.0,0.0,4.0,10.0,15.0,2.0,8.0,4.0,0.0,2.0,18.0,47.0,49.0,0.0,4.0,399100.0,188.0,39.0,4432.0,0.0,278.7586206896552,230,58551,733,23826,24.0,6.0,27.0,49.0,0.0,2.0,8.0,0.0,30.0,17.0,3.0,4.0,2.0,0.0,4.0,14.0,29.0,6.0,14.0,11.0,0.0,5.0,20.0,70.0,60.0,5.0,6.0
324738317,cian.ru,Дмитровский,28.0,13.0,2229.0,,,2252.0,2067.0,2356.0,1194.0,0.0,0.0,5.0,6.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,288000.0,118.0,74.0,13199.0,433.0,433.0,2252,2067,2356,1194,9.0,9.0,15.0,41.0,0.0,4.0,16.0,0.0,16.0,21.0,2.0,11.0,0.0,0.0,0.0,0.0,29.0,5.0,7.0,5.0,0.0,1.0,5.0,13.0,13.0,6.0,0.0
320864859,cian.ru,Коммунарка,20.0,20.0,585.0,,,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291400.0,24.0,23.0,815.0,,,694,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324977389,cian.ru,Коптево,66.0,7.0,1459.0,195.0,227.0,1728.0,118.0,725.0,129.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,327800.0,235.0,48.0,4801.0,195.0,380.1538461538461,1728,118,725,129,7.0,5.0,12.0,8.0,0.0,0.0,1.0,0.0,25.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,5.0,3.0,1.0,1.0,0.0,7.0,4.0,7.0,2.0,1.0
324714244,cian.ru,Таганский,167.0,25.0,783.0,0.0,193.5434782608696,188.0,3308.0,527.0,4736.0,10.0,2.0,3.0,10.0,0.0,0.0,2.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,6.0,3.0,2.0,2.0,3.0,0.0,2.0,7.0,3.0,7.0,1.0,1.0,433700.0,460.0,85.0,3876.0,0.0,365.827868852459,188,3308,527,4736,34.0,14.0,10.0,72.0,2.0,9.0,6.0,0.0,14.0,5.0,11.0,3.0,16.0,1.0,0.0,13.0,16.0,2.0,5.0,6.0,0.0,6.0,17.0,19.0,48.0,5.0,5.0
325146968,cian.ru,Лефортово,58.0,29.0,2461.0,274.0,274.0,792.0,604.0,1371.0,1876.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,279300.0,220.0,72.0,6254.0,274.0,448.8181818181818,792,604,1371,1876,15.0,3.0,5.0,15.0,0.0,2.0,10.0,0.0,11.0,6.0,2.0,6.0,3.0,5.0,0.0,2.0,20.0,8.0,5.0,4.0,0.0,1.0,4.0,5.0,14.0,2.0,1.0
321897639,cian.ru,Басманный,42.0,6.0,943.0,0.0,196.46666666666667,1024.0,39038.0,749.0,27613.0,9.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,17.0,0.0,0.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,10.0,4.0,17.0,0.0,0.0,461200.0,232.0,37.0,3573.0,0.0,329.2972972972973,1024,39038,749,27613,13.0,4.0,3.0,8.0,0.0,3.0,3.0,0.0,9.0,1.0,1.0,1.0,34.0,1.0,1.0,6.0,7.0,4.0,5.0,5.0,0.0,3.0,16.0,4.0,21.0,0.0,1.0
317713723,cian.ru,Кузьминки,27.0,20.0,3321.0,,,612.0,579.0,1293.0,599.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,302600.0,136.0,91.0,12676.0,,,612,579,1293,599,6.0,1.0,4.0,7.0,0.0,0.0,9.0,0.0,14.0,5.0,7.0,9.0,0.0,0.0,1.0,0.0,19.0,6.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0
322426866,cian.ru,Хорошевский,56.0,11.0,1488.0,11.0,171.4,1166.0,1229.0,2033.0,862.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,443000.0,165.0,46.0,9357.0,11.0,315.2,1166,1229,2033,862,10.0,2.0,6.0,6.0,0.0,2.0,7.0,0.0,5.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,12.0,3.0,4.0,5.0,0.0,2.0,2.0,5.0,2.0,12.0,0.0
320540936,cian.ru,Хорошево-Мневники,44.0,31.0,3306.0,126.0,163.0,720.0,3693.0,813.0,1556.0,6.0,1.0,3.0,11.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,454100.0,150.0,90.0,13671.0,126.0,397.7142857142857,720,3693,813,1556,25.0,4.0,21.0,42.0,0.0,5.0,12.0,0.0,32.0,17.0,6.0,10.0,0.0,0.0,0.0,0.0,34.0,3.0,12.0,9.0,0.0,0.0,5.0,15.0,28.0,11.0,1.0
323433007,cian.ru,Даниловский,38.0,26.0,3476.0,178.0,178.0,3114.0,181.0,885.0,437.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,399100.0,161.0,65.0,6708.0,178.0,509.0,3114,181,885,437,38.0,2.0,9.0,16.0,1.0,4.0,5.0,0.0,10.0,5.0,3.0,5.0,1.0,0.0,0.0,6.0,14.0,1.0,7.0,4.0,0.0,0.0,8.0,11.0,10.0,3.0,0.0
