ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
324430638,cian.ru,Донской,71,14.0,605.0,0,160.57142857142858,160,14046,540,6747,5,1,0,3,2,2,0,0,11,2,1,0,0,0,0,3,3,4,1,3,0,0,3,4,3,1,1,391900,202,41.0,2689.0,0,320.17241379310343,160,14046,540,6747,18,3,9,18,3,2,4,0,21,7,2,2,6,0,1,8,12,6,6,5,0,1,15,16,21,1,1
3965285094524796928,realty.yandex.ru,Останкинский,24,9.0,1180.0,68,113.25,476,10962,1216,9128,2,0,2,1,0,2,2,0,3,2,0,0,0,0,0,1,6,2,5,3,0,0,10,3,4,0,1,380300,104,40.0,7371.0,68,282.75,476,10962,1216,9128,9,3,4,11,0,5,8,0,18,4,5,5,5,0,0,3,10,3,8,5,0,3,12,7,13,4,1
322192502,cian.ru,Новогиреево,49,15.0,1087.0,23,117.6,526,25349,1468,12516,0,0,1,3,0,1,2,0,3,3,1,0,0,0,0,3,7,2,1,1,0,0,4,1,2,1,0,303600,138,53.0,4612.0,23,191.16666666666666,526,25349,1468,12516,1,0,2,4,0,2,5,0,5,4,3,4,0,0,0,3,10,3,1,3,0,0,4,2,3,3,0
319789604,cian.ru,Хамовники,84,17.0,1240.0,42,157.25,404,10733,740,6719,36,2,6,6,0,1,0,0,9,3,1,0,4,0,0,3,4,3,1,2,0,1,2,5,12,0,0,846800,257,43.0,3271.0,42,356.6666666666667,404,10733,740,6719,80,4,7,25,0,8,0,0,16,5,3,3,11,0,0,7,7,4,3,4,0,2,11,11,32,5,0
321854569,cian.ru,Басманный,116,20.0,1097.0,160,234.75,276,9118,482,7386,5,3,2,2,0,0,1,0,2,2,1,3,1,0,0,2,2,2,0,0,0,0,5,4,4,2,1,461200,359,56.0,4658.0,160,404.17391304347825,276,9118,482,7386,23,9,15,29,1,10,6,0,11,11,5,6,13,0,0,13,22,4,9,5,0,3,18,19,30,5,1
3086776659646958080,realty.yandex.ru,Раменки,31,17.0,2387.0,161,203.5,638,6625,918,2626,3,4,5,9,0,2,1,0,7,2,0,1,5,1,0,1,3,1,2,0,0,0,3,4,3,0,0,483300,124,58.0,7033.0,161,428.42857142857144,638,6625,918,2626,7,6,8,17,0,2,8,0,14,3,2,5,5,1,0,1,13,2,4,3,0,1,5,7,4,3,0
3965285094498899968,realty.yandex.ru,Даниловский,29,,,0,171.4,0,19826,133,24080,10,1,11,13,0,2,2,0,13,3,0,0,0,0,1,9,1,1,4,3,0,1,13,34,30,0,3,399100,170,34.0,4620.0,0,308.5,0,19826,133,24080,16,3,22,43,0,4,7,0,32,16,1,2,2,0,5,14,31,6,15,12,0,4,23,65,58,2,4
321629282,cian.ru,Печатники,17,9.0,1777.0,0,0.0,322,2770,1410,1651,0,0,2,2,0,1,1,0,10,2,2,2,0,0,0,1,7,1,1,3,0,0,0,3,0,0,0,286900,80,43.0,8843.0,0,404.5,322,2770,1410,1651,0,2,6,8,1,2,7,0,25,7,4,5,0,0,1,1,23,4,2,6,0,0,3,8,5,4,0
324742475,cian.ru,Марьино,33,19.0,4800.0,168,168.0,1172,5370,3391,8329,3,6,10,19,3,2,7,0,20,9,1,3,1,0,1,0,16,4,3,5,0,1,4,2,14,3,1,285300,111,53.0,14153.0,168,341.25,1172,5370,3391,8329,14,15,18,52,5,8,13,0,36,13,10,11,1,0,4,0,43,12,7,10,3,1,5,4,24,8,1
321280430,cian.ru,Сокол,98,82.0,799.0,4,133.33333333333334,814,4668,644,2378,1,0,0,2,1,0,1,0,0,0,0,2,4,0,0,0,2,0,1,0,0,0,1,0,4,1,0,390900,276,186.0,6829.0,4,398.25,814,4668,644,2378,14,8,8,31,2,3,8,0,11,3,7,4,9,4,0,0,20,0,5,5,0,1,5,10,27,4,0
