address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Профсоюзная улица, 109",ВесЛандия,5.0,Фейерверки и пиротехника;Магазин канцтоваров;Товары для праздника,55.6317248,37.5191612,success
"Москва, Профсоюзная улица, 109, корп. 2",билайн,5.0,Оператор сотовой связи;Салон связи,,,not_found
"Москва, Профсоюзная улица, 109, корп. 2",Папа Джонс,1.0,Пиццерия,,,not_found
"Москва, Профсоюзная улица, 109, корп. 2",Суперхенд,3.0,Секонд-хенд,,,not_found
"Москва, Профсоюзная улица, 109, корп. 2",Ла Пиола,3.8,Кафе;Быстрое питание;Пиццерия,,,not_found
"Москва, Профсоюзная улица, 109, корп. 2",МосТабак,1.0,Магазин табака и курительных принадлежностей;Табачная продукция оптом;Вейп-шоп,,,not_found
"Москва, Профсоюзная улица, 109А",Хлебница,5.0,Пекарня,55.6319333,37.5195199,success
"Москва, Профсоюзная улица, 109Б",Пятёрочка,4.0,Супермаркет,55.6318212,37.5198184,success
"Москва, Профсоюзная улица, 109В, стр. 4",Булискерия Т. М.,5.0,Аптека,,,not_found
"Москва, Профсоюзная улица, 109Вс4",Аптека 24,4.0,Аптека;Ортопедический салон,,,not_found
"Москва, Профсоюзная улица, 109к2",Айкрафт,5.0,Салон оптики;Коррекция зрения;Контактные линзы,55.6328561,37.5198234,success
"Москва, Профсоюзная улица, 11/11",Дикси,5.0,Супермаркет;Магазин продуктов,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 11/11",Фотоателье,3.0,Фотоуслуги;Фотостудия,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 11/11",Социальная оптика № 1,5.0,Салон оптики,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 11/11",Винлаб,5.0,Магазин алкогольных напитков;Магазин продуктов,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 11/11",Банк Открытие,5.0,Банк,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 11/11",Индийский магазин Джимми,5.0,Магазин парфюмерии и косметики,55.6816691,37.5689201,success
"Москва, Профсоюзная улица, 111А","Детская городская поликлиника № 81, филиал № 4",5.0,Детская поликлиника,55.6316834,37.5225102,success
"Москва, Профсоюзная улица, 111А","Диагностический клинический центр № 1, филиал № 5",1.0,Поликлиника для взрослых,55.6316834,37.5225102,success
"Москва, Профсоюзная улица, 112",GYM KiDs,5.0,"Спортивный клуб, секция;Спортивно-развлекательный центр;Центр развития ребёнка",55.6394679,37.5216581,success
"Москва, Профсоюзная улица, 112",Fly Zone,5.0,"Спортивный клуб, секция;Спортивная база",55.6394679,37.5216581,success
"Москва, Профсоюзная улица, 113, корп. 2",Клиника семейной стоматологии,5.0,Стоматологическая клиника,,,not_found
"Москва, Профсоюзная улица, 113к2",Медок,5.0,"Гинекологическая клиника;Медцентр, клиника;Женская консультация",55.6310467,37.5216749,success
"Москва, Профсоюзная улица, 114, стр. 1",Avtoservis-uzao,1.0,"Автосервис, автотехцентр;Шиномонтаж;Ремонт АКПП",,,not_found
"Москва, Профсоюзная улица, 115, корп. 1",Медицинский центр С-Профи,5.0,"Гинекологическая клиника;Медцентр, клиника;Остеопатия",,,not_found
"Москва, Профсоюзная улица, 115, корп. 1",ГОРЗДРАВ,2.0,Аптека,,,not_found
"Москва, Профсоюзная улица, 116, корп. 1",Винлаб,4.0,Магазин алкогольных напитков;Магазин продуктов,,,not_found
"Москва, Профсоюзная улица, 116к1",Fix Price,3.5,Товары для дома;Магазин хозтоваров и бытовой химии;Магазин подарков и сувениров;Магазин фиксированной цены,55.6383773,37.5213451,success
"Москва, Профсоюзная улица, 116к1",Шаурма,5.0,Быстрое питание,55.6383773,37.5213451,success
"Москва, Профсоюзная улица, 118",Шато Манави,4.857142857142857,Ресторан;Банкетный зал;Безалкогольный бар,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118",Чижик,3.0,Супермаркет;Магазин продуктов;Магазин овощей и фруктов,55.6363391,37.5211351,success
