iter	Passed	Remaining
153	64333	228089
154	64807	227871
155	65261	227578
156	65727	227325
157	66209	227122
158	66684	226894
159	67151	226634
160	67616	226368
161	68072	226066
162	68540	225805
163	68993	225490
164	69460	225218
165	69925	224942
166	70389	224656
167	70855	224375
168	71324	224101
169	71787	223809
170	72250	223510
171	72719	223232
172	73191	222960
173	73648	222639
174	74115	222345
175	74584	222056
176	75037	221722
177	75500	221411
178	75971	221122
179	76435	220813
180	76900	220505
181	77364	220192
182	77850	219938
183	78319	219633
184	78786	219324
185	79255	219018
186	79722	218702
187	80187	218383
188	80654	218064
189	81115	217729
190	81583	217412
191	82050	217090
192	82516	216766
193	82976	216423
194	83449	216111
195	83911	215772
196	84376	215439
197	84855	215138
198	85378	214948
199	85853	214633
200	86318	214293
201	86775	213931
202	87194	213477
203	87656	213125
204	88094	212716
205	88563	212381
206	89003	211974
207	89456	211599
208	89931	211275
209	90388	210905
210	90860	210571
211	91336	210245
212	91800	209890
213	92255	209515
214	92729	209181
215	93206	208852
216	93671	208494
217	94136	208137
218	94601	207776
219	95052	207386
220	95520	207032
221	95987	206675
222	96459	206327
223	96923	205962
224	97393	205608
225	97855	205236
226	98318	204867
227	98790	204512
228	99252	204138
229	99721	203778
230	100160	203356
231	100618	202972
232	101093	202620
233	101548	202228
234	102011	201852
235	102482	201490
236	102953	201129
237	103432	200781
238	103898	200407
239	104365	200033
240	104827	199651
241	105298	199283
242	105759	198898
243	106219	198508
244	106683	198127
245	107144	197738
246	107613	197363
247	108085	196994
248	108547	196606
249	109006	196211
250	109469	195823
251	109939	195448
252	110406	195066
253	110881	194697
254	111306	194241
255	111774	193859
256	112241	193474
257	112698	193072
258	113166	192688
259	113629	192295
260	114096	191910
261	114559	191515
262	115030	191133
263	115492	190737
264	115957	190345
265	116427	189960
266	116894	189570
267	117361	189179
268	117829	188790
269	118291	188390
270	118770	188016
271	119241	187630
272	119705	187232
273	120175	186841
274	120639	186442
275	121119	186068
276	121589	185676
277	122071	185302
278	122521	184879
279	122969	184454
280	123439	184061
281	123892	183642
282	124347	183225
283	124818	182832
284	125288	182438
285	125755	182038
286	126219	181632
287	126689	181236
288	127154	180831
289	127622	180432
290	128097	180040
291	128567	179642
292	129045	179253
293	129508	178845
294	129978	178444
295	130445	178040
296	130911	177633
297	131375	177224
298	131843	176820
299	132314	176419
300	132777	176007
301	133245	175602
302	133708	175189
303	134177	174783
304	134632	174360
305	135096	173947
306	135553	173525
307	136020	173117
308	136488	172708
309	136952	172295
310	137428	171895
311	137892	171482
312	138358	171069
313	138822	170654
314	139284	170236
315	139745	169817
316	140212	169405
317	140673	168984
318	141139	168571
319	141608	168160
320	142059	167728
321	142528	167316
322	142993	166900
323	143457	166481
324	143914	166054
325	144386	165645
326	144853	165230
327	145322	164817
328	145793	164405
329	146263	163991
330	146733	163578
331	147203	163165
332	147662	162739
333	148130	162322
334	148651	161963
335	149133	161561
336	149595	161137
337	150060	160715
338	150520	160289
339	150986	159868
340	151453	159448
341	151913	159021
342	152381	158600
343	152831	158162
344	153293	157737
345	153754	157309
346	154209	156875
347	154674	156452
348	155144	156033
349	155602	155602
350	156069	155180
351	156526	154748
352	156995	154327
353	157462	153903
354	157931	153482
355	158397	153058
356	158861	152631
357	159328	152207
358	159788	151776
359	160257	151354
360	160712	150918
361	161165	150480
362	161620	150044
363	162084	149616
364	162544	149185
365	163007	148755
366	163476	148331
367	163945	147907
368	164416	147484
369	164878	147053
370	165353	146634
371	165832	146218
372	166298	145790
373	166763	145360
374	167226	144929
375	167693	144501
376	168160	144073
377	168638	143654
378	169099	143221
379	169576	142801
380	170041	142370
381	170504	141938
382	170982	141518
383	171446	141086
384	171906	140651
385	172383	140228
386	172846	139796
387	173325	139375
388	173790	138943
389	174255	138510
390	174724	138081
391	175191	137650
392	175664	137224
393	176130	136791
394	176590	136354
395	177063	135927
396	177535	135499
397	178002	135066
